title	link	guid	category	description	pubDate
Pre University Education	http://pue.kar.nic.in	http://pue.kar.nic.in	Schemes / Programmes and Missions	Pre University Education	Mon, 01 Feb 2010 12:00:00 +0530
Karnataka State Remote Sensing Applications Centre (KSRSAC), Bangalore	http://www.karunadu.gov.in/ksrsac	http://www.karunadu.gov.in/ksrsac	Schemes / Programmes and Missions	Karnataka State Remote Sensing Applications Centre (KSRSAC), Bangalore	Fri, 10 Dec 2010 12:00:00 +0530
eProcurement Portal, Government of Karnataka	http://eproc.karnataka.gov.in	http://eproc.karnataka.gov.in	Schemes / Programmes and Missions	eProcurement Portal, Government of Karnataka	Tue, 07 Dec 2010 12:00:00 +0530
Recruitment Portal, Karnataka	http://recruitment.kar.nic.in	http://recruitment.kar.nic.in	Schemes / Programmes and Missions	Recruitment Portal, Karnataka	Sat, 11 Dec 2010 12:00:00 +0530
District Information System for Education (DISE)	http://www.dise.in	http://www.dise.in	Schemes / Programmes and Missions	District Information System for Education (DISE)	Thu, 30 Jun 2011 12:00:00 +0530
Karnataka State Haj Committee	http://www.karhaj.in	http://www.karhaj.in	Schemes / Programmes and Missions	Karnataka State Haj Committee	Thu, 30 Jun 2011 12:00:00 +0530
State Livestock Breeding and Training Centre	http://slbtc.kar.nic.in	http://slbtc.kar.nic.in	Affiliated Organizations	State Livestock Breeding and Training Centre	Fri, 05 Feb 2010 12:00:00 +0530
Bangalore City Traffic Police	http://www.bangaloretrafficpolice.gov.in	http://www.bangaloretrafficpolice.gov.in	Divisions / Units / Wings	Bangalore City Traffic Police	Fri, 11 Mar 2011 12:00:00 +0530
Karnataka Road Development Corporation Limited (KRDCL), Bangalore	http://www.krdcl.in	http://www.krdcl.in	Divisions / Units / Wings	Karnataka Road Development Corporation Limited (KRDCL), Bangalore	Tue, 22 Feb 2011 12:00:00 +0530
Karnataka Power Corporation Limited, Bangalore	http://www.karnatakapower.com	http://www.karnatakapower.com	Divisions / Units / Wings	Karnataka Power Corporation Limited, Bangalore	Wed, 16 Feb 2011 12:00:00 +0530
Bangalore Metropolitan Task Force (BMTF)	http://bmtf.gov.in	http://bmtf.gov.in	Divisions / Units / Wings	Bangalore Metropolitan Task Force (BMTF), Karnataka	Thu, 10 Sep 2015 12:00:00 +0530
Karnataka Council for Technological Upgradation (KCTU)	http://kctu.kar.nic.in	http://kctu.kar.nic.in	Divisions / Units / Wings	Karnataka Council for Technological Upgradation (KCTU)	Sat, 11 Dec 2010 12:00:00 +0530
Karnataka Fire and Emergency Services	http://www.karunadu.gov.in/ksfes	http://www.karunadu.gov.in/ksfes	Divisions / Units / Wings	Karnataka Fire and Emergency Services	Mon, 20 May 2013 12:00:00 +0530
State Election Commission  (SEC), Karnataka	http://karsec.gov.in	http://karsec.gov.in	State Election Comission	State Election Commission	Wed, 15 Apr 2009 12:00:00 +0530
Zilla Panchayat Karwar, Karnataka	http://www.zpkarwar.kar.nic.in	http://www.zpkarwar.kar.nic.in	Zilla/Taluk/ Village Panchayats	Zilla Panchayat Karwar, Karnataka	Fri, 05 Feb 2010 12:00:00 +0530
Zill Panchayat Davangere, Karnataka	http://www.zpdavangere.kar.nic.in	http://www.zpdavangere.kar.nic.in	Zilla/Taluk/ Village Panchayats	Zill Panchayat Davangere, Karnataka	Fri, 05 Feb 2010 12:00:00 +0530
Honnali Town Panchayat, Karnataka	http://honnalitown.mrc.gov.in	http://honnalitown.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Honnali Town Panchayat, Karnataka	Wed, 08 Dec 2010 12:00:00 +0530
Jewargi Town Panchayat, Karnataka	http://www.jewargitown.mrc.gov.in	http://www.jewargitown.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Jewargi Town Panchayat, Karnataka	Wed, 08 Dec 2010 12:00:00 +0530
Siruguppa Town Municipal Council, Karnataka	http://www.shiraguppatown.mrc.gov.in	http://www.shiraguppatown.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Siruguppa Town Municipal Council, Karnataka	Fri, 10 Dec 2010 12:00:00 +0530
Belgaum City Corporation, Karnataka	http://www.belgaumcity.mrc.gov.in	http://www.belgaumcity.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Belgaum City Corporation, Karnataka	Thu, 17 Feb 2011 12:00:00 +0530
Sirsi City Municipal Council, Karnataka	http://www.sirsicity.mrc.gov.in	http://www.sirsicity.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Sirsi City Municipal Council, Karnataka 	Fri, 10 Dec 2010 12:00:00 +0530
Bhatkal Town Municipal Council, Karnataka	http://www.bhatkaltown.mrc.gov.in	http://www.bhatkaltown.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Bhatkal Town Municipal Council, Karnataka	Thu, 06 Jan 2011 12:00:00 +0530
Gokak City Municipal Council,  karnataka	http://www.gokakcity.mrc.gov.in	http://www.gokakcity.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Gokak City Municipal Council,  karnataka	Fri, 10 Dec 2010 12:00:00 +0530
Ankola Town Panchayat, Karnataka	http://ankolatown.mrc.gov.in	http://ankolatown.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Ankola Town Panchayat, Karnataka	Fri, 10 Dec 2010 12:00:00 +0530
Haveri City Municipal Council, karnataka	http://www.havericity.mrc.gov.in	http://www.havericity.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Haveri City Municipal Council, karnataka	Fri, 10 Dec 2010 12:00:00 +0530
Pandavapura Town Panchayath, Karnataka	http://pandavapuratown.mrc.gov.in	http://pandavapuratown.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Pandavapura Town Panchayath, Karnataka	Wed, 08 Dec 2010 12:00:00 +0530
Chickmagalur City Municipal Council, Karnataka	http://www.chickamagalurcity.mrc.gov.in	http://www.chickamagalurcity.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Chickmagalur City Municipal Council, Karnataka  	Fri, 10 Dec 2010 12:00:00 +0530
Chitradurga City Municipal Council, Karnataka	http://www.chitradurgacity.mrc.gov.in	http://www.chitradurgacity.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Chitradurga City Municipal Council, Karnataka 	Fri, 10 Dec 2010 12:00:00 +0530
Zilla Panchayat, Tumkur, Karnataka	http://tumkurzillapanchayat.gov.in	http://tumkurzillapanchayat.gov.in	Zilla/Taluk/ Village Panchayats	Zilla Panchayat, Tumkur, Karnataka	Fri, 20 Jan 2012 12:00:00 +0530
Mangalore City Corporation, Karnataka	http://www.mangalorecity.mrc.gov.in	http://www.mangalorecity.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Mangalore City Corporation, Karnataka	Wed, 16 Feb 2011 12:00:00 +0530
City Municipal Council, Raichur, Karnataka	http://www.raichurcity.mrc.gov.in	http://www.raichurcity.mrc.gov.in	Zilla/Taluk/ Village Panchayats	City Municipal Council, Raichur, Karnataka	Fri, 10 Dec 2010 12:00:00 +0530
Hassan City Municipal Council, Karnataka	http://www.hassancity.mrc.gov.in	http://www.hassancity.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Hassan City Municipal Council, Karnataka	Sat, 12 Mar 2011 12:00:00 +0530
Zilla Panchayat, Raichur, Karnataka	http://zpraichur.kar.nic.in	http://zpraichur.kar.nic.in	Zilla/Taluk/ Village Panchayats	Zilla Panchayat, Raichur, Karnataka	Tue, 10 Jul 2001 12:00:00 +0530
Zilla Panchayat, Shimoga, Karnataka	http://www.shimoga.nic.in/zpshimoga	http://www.shimoga.nic.in/zpshimoga	Zilla/Taluk/ Village Panchayats	Zilla Panchayat, Shimoga, Karnataka	Tue, 10 Jul 2001 12:00:00 +0530
Hosakote Town Municipal Council, Karnataka	http://www.hosakotecity.mrc.gov.in	http://www.hosakotecity.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Hosakote Town Municipal Council, Karnataka	Fri, 10 Dec 2010 12:00:00 +0530
Kundapur Town Municipal Council, Karnataka	http://www.kundapurtown.mrc.gov.in	http://www.kundapurtown.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Kundapur Town Municipal Council, Karnataka	Fri, 10 Dec 2010 12:00:00 +0530
Channapatna City Municipal Council, Karnataka	http://www.channapatnacity.mrc.gov.in	http://www.channapatnacity.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Channapatna City Municipal Council, Karnataka	Fri, 10 Dec 2010 12:00:00 +0530
Kampli Town Municipal Council, Karnataka	http://www.kamplitown.mrc.gov.in	http://www.kamplitown.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Kampli Town Municipal Council, Karnataka	Fri, 10 Dec 2010 12:00:00 +0530
Hoovinahadagali Town Municipal Council, Karnataka	http://www.hoovinahadagalitown.mrc.gov.in	http://www.hoovinahadagalitown.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Hoovinahadagali Town Municipal Council, Karnataka	Fri, 10 Dec 2010 12:00:00 +0530
Tekkalakote Town Panchayath, Karnataka	http://www.tekkalakotetown.mrc.gov.in	http://www.tekkalakotetown.mrc.gov.in	Zilla/Taluk/ Village Panchayats	Tekkalakote Town Panchayath, Karnataka	Fri, 10 Dec 2010 12:00:00 +0530
Zilla Panchayat, Belgaum	http://zpbelgaum.kar.nic.in	http://zpbelgaum.kar.nic.in	Zilla/Taluk/ Village Panchayats	Zilla Panchayat, Belgaum	Fri, 05 Feb 2010 12:00:00 +0530
Tarikere Town Municipal Council, Karnataka	http://www.tarikeretown.mrc.gov.in	http://www.tarikeretown.mrc.gov.in	Municipal Corporations	Tarikere Town Municipal Council, Karnataka	Tue, 17 May 2011 12:00:00 +0530
Tumkur City Corporation, Karnataka	http://www.tumkurcity.mrc.gov.in	http://www.tumkurcity.mrc.gov.in	Municipal Corporations	Tumkur City Corporation, Karnataka	Fri, 27 Aug 2010 12:00:00 +0530
Gulbarga City Corporation, Karnataka	http://www.gulbargacity.mrc.gov.in	http://www.gulbargacity.mrc.gov.in	Municipal Corporations	Gulbarga City Corporation, Karnataka	Thu, 17 Feb 2011 12:00:00 +0530
Mysore City Corporation	http://www.mysorecity.mrc.gov.in	http://www.mysorecity.mrc.gov.in	Municipal Corporations	Mysore City Corporation	Wed, 16 Feb 2011 12:00:00 +0530
Hubli Dharwad Municipal Corporation	http://www.hdmc.mrc.gov.in	http://www.hdmc.mrc.gov.in	Municipal Corporations	Hubli Dharwad Municipal Corporation	Tue, 02 Nov 2010 12:00:00 +0530
Online Citizen Services Portal, Karnataka	http://www.karnatakaone.gov.in	http://www.karnatakaone.gov.in	Online Citizen Services Portal	Online Citizen Services Portal, Karnataka	Sat, 08 Nov 2014 12:00:00 +0530
State Information Commission (SIC), karnataka	http://www.kic.gov.in	http://www.kic.gov.in	State Information Commission	State Information Commission (SIC), karnataka	Mon, 01 Feb 2010 12:00:00 +0530
Karnataka Public Service Commission	http://kpsc.kar.nic.in	http://kpsc.kar.nic.in	State Public Service Commission	Karnataka Public Service Commission	Mon, 01 Feb 2010 12:00:00 +0530
Karnataka State Consumer Disputes Redressal Commission	http://kscdrc.kar.nic.in	http://kscdrc.kar.nic.in	State Consumer Disputes Redressal Commission	Karnataka State Consumer Disputes Redressal Commission	Fri, 29 Jan 2010 12:00:00 +0530
Karnataka Electricity Regulatory Commission (KERC)	http://www.kerc.org	http://www.kerc.org	State Electricity Regulatory Commission	Karnataka Electricity Regulatory Commission (KERC)	Tue, 10 Jul 2001 12:00:00 +0530
Karnataka State Minorities Commission (KSMC)	http://www.karmin.in	http://www.karmin.in	State Commission for Minorities	Karnataka State Minorities Commission (KSMC)	Sat, 16 Oct 2010 12:00:00 +0530
Karnataka Police Academy, Mysuru	http://kpa.gov.in	http://kpa.gov.in	Autonomous Organisations / Institutions	Karnataka Police Academy, Mysuru	Sat, 13 May 2017 12:00:00 +0530
Karnataka High Court	http://karnatakajudiciary.kar.nic.in	http://karnatakajudiciary.kar.nic.in	High Courts	Karnataka High Court	Fri, 25 Feb 2000 12:00:00 +0530
Legislative Assembly, Karnataka	http://kla.kar.nic.in/assembly/assembly.htm	http://kla.kar.nic.in/assembly/assembly.htm	State Legislative Assemblies	Legislative Assembly, Karnataka	Wed, 24 Dec 2014 12:00:00 +0530
Karnataka Legislative Council  	http://kla.kar.nic.in/council/council.htm	http://kla.kar.nic.in/council/council.htm	State Legislative Councils	Karnataka Legislative Council  	Fri, 29 Jan 2010 12:00:00 +0530
Antrix Corporation Limited	http://www.antrix.gov.in	http://www.antrix.gov.in	Departments	Antrix Corporation Limited	Thu, 17 Jun 2004 12:00:00 +0530
Indian Institute of Horticultural Research (IIHR)	http://www.iihr.res.in	http://www.iihr.res.in	Departments	Indian Institute of Horticultural Research (IIHR)	Tue, 10 Jul 2001 12:00:00 +0530
Tumakuru (Tumkur) District, Karnataka	http://tumkur.nic.in	http://tumkur.nic.in	Departments	Tumakuru (Tumkur) District, Karnataka	Thu, 05 Apr 2012 12:00:00 +0530
Bharat Electronics Limited (BEL)	http://www.bel-india.com	http://www.bel-india.com	Departments	Bharat Electronics Limited (BEL)	Tue, 20 Mar 2001 12:00:00 +0530
Raman Research Institute, Bangalore, Karnataka	http://www.rri.res.in	http://www.rri.res.in	Departments	Raman Research Institute, Bangalore, Karnataka	Tue, 11 Nov 2003 12:00:00 +0530
HMT (International) Limited	http://www.hmti.com	http://www.hmti.com	Departments	HMT (International) Limited	Fri, 10 Nov 2000 12:00:00 +0530
Kudremukh Iron Ore Company Limited (KIOCL)	http://kioclltd.in	http://kioclltd.in	Departments	Kudremukh Iron Ore Company Limited (KIOCL)	Wed, 10 Jul 2002 12:00:00 +0530
National Institute of Fashion Technology (NIFT), Bengaluru (Bangalore), Karnataka	http://www.nift.ac.in/bengaluru	http://www.nift.ac.in/bengaluru	Departments	National Institute of Fashion Technology (NIFT), Bengaluru (Bangalore), Karnataka	Tue, 23 Aug 2005 12:00:00 +0530
Foremen Training Institute, Bangalore	http://ftibangalore.gov.in	http://ftibangalore.gov.in	Departments	Foremen Training Institute, Bangalore	Thu, 17 Aug 2000 12:00:00 +0530
Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR)	http://www.jncasr.ac.in	http://www.jncasr.ac.in	Departments	Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR)	Thu, 17 Aug 2000 12:00:00 +0530
Woman and Child Development Department, Karnataka	http://dwcdkar.gov.in	http://dwcdkar.gov.in	Departments	Woman and Child Development Department, Karnataka	Fri, 26 Nov 2010 12:00:00 +0530
Income Tax Department, Karnataka and Goa	http://www.incometaxbengaluru.in	http://www.incometaxbengaluru.in	Departments	Income Tax Department, Karnataka and Goa	Mon, 19 Feb 2001 12:00:00 +0530
Home Department, Karnataka	http://home.kar.nic.in	http://home.kar.nic.in	Departments	Home Department, Karnataka	Thu, 19 Aug 2010 12:00:00 +0530
Davanagere District, Karnataka	http://davanagere.nic.in	http://davanagere.nic.in	Departments	Davanagere District, Karnataka	Sat, 26 Sep 2009 12:00:00 +0530
Indian Telephone Industries Limited (ITI)	http://www.itiltd-india.com	http://www.itiltd-india.com	Departments	Indian Telephone Industries Limited (ITI)	Tue, 23 May 2000 12:00:00 +0530
National Institute of Mental Health and Neuro Sciences (NIMHANS)	http://www.nimhans.kar.nic.in	http://www.nimhans.kar.nic.in	Departments	National Institute of Mental Health and Neuro Sciences (NIMHANS)	Fri, 25 Feb 2000 12:00:00 +0530
Bangalore Telecom District	http://www.bangaloretelecom.com	http://www.bangaloretelecom.com	Departments	Bangalore Telecom District	Tue, 09 Jul 2002 12:00:00 +0530
Gulbarga District, Karnataka	http://www.gulbarga.nic.in	http://www.gulbarga.nic.in	Departments	Gulbarga District, Karnataka	Wed, 15 Apr 2009 12:00:00 +0530
Indian Academy of Sciences, Bangalore, Karnataka	http://www.ias.ac.in	http://www.ias.ac.in	Departments	Indian Academy of Sciences, Bangalore, Karnataka	Mon, 10 Nov 2003 12:00:00 +0530
Mines and Geology Department, Karnataka	http://mines.kar.nic.in	http://mines.kar.nic.in	Departments	Mines and Geology Department, Karnataka	Tue, 10 Jul 2001 12:00:00 +0530
Chickmagalur District, Karnataka	http://chickmagalur.nic.in	http://chickmagalur.nic.in	Departments	Chickmagalur District, Karnataka	Wed, 21 Aug 2002 12:00:00 +0530
Mysore District, Karnataka	http://mysore.nic.in	http://mysore.nic.in	Departments	Mysore District, Karnataka	Mon, 13 Oct 2003 12:00:00 +0530
Bijapur District, Karnataka	http://bijapur.nic.in	http://bijapur.nic.in	Departments	Bijapur District, Karnataka	Tue, 02 Nov 2004 12:00:00 +0530
Hassan District, Karnataka	http://hassan.nic.in	http://hassan.nic.in	Departments	Hassan District, Karnataka	Tue, 13 Jun 2000 12:00:00 +0530
Shimoga District, Karnataka	http://shimoga.nic.in	http://shimoga.nic.in	Departments	Shimoga District, Karnataka	Fri, 24 Jan 2003 12:00:00 +0530
Kodagu District, Karnataka	http://kodagu.nic.in	http://kodagu.nic.in	Departments	Kodagu District, Karnataka	Tue, 03 Feb 2004 12:00:00 +0530
Koppal District, Karnataka	http://koppal.nic.in	http://koppal.nic.in	Departments	Koppal District, Karnataka	Wed, 11 Feb 2009 12:00:00 +0530
Bellary District, Karnataka	http://bellary.nic.in	http://bellary.nic.in	Departments	Bellary District, Karnataka	Wed, 10 Jan 2007 12:00:00 +0530
Raichur District, Karnataka	http://raichur.nic.in	http://raichur.nic.in	Departments	Raichur District, Karnataka	Wed, 11 Feb 2009 12:00:00 +0530
Backward Classes Department, Karnataka	http://backwardclasses.kar.nic.in	http://backwardclasses.kar.nic.in	Departments	Backward Classes Department, Karnataka	Mon, 30 Aug 2004 12:00:00 +0530
Rural Development and Panchayat Raj Department, Karnataka	http://rdpr.kar.nic.in	http://rdpr.kar.nic.in	Departments	Rural Development and Panchayat Raj Department, Karnataka	Tue, 10 Jul 2001 12:00:00 +0530
Labour Department, Karnataka	http://labour.kar.nic.in	http://labour.kar.nic.in	Departments	Labour Department, Karnataka	Mon, 11 Mar 2002 12:00:00 +0530
Yadgir District, Karnataka	http://yadgir.nic.in	http://yadgir.nic.in	Departments	Yadgir District, Karnataka	Fri, 03 Apr 2015 12:00:00 +0530
National Tuberculosis Institute (NTI), Bangalore	http://ntiindia.kar.nic.in	http://ntiindia.kar.nic.in	Departments	National Tuberculosis Institute (NTI), Bangalore	Tue, 10 Jul 2001 12:00:00 +0530
Institute for Social and Economic Change (ISEC)	http://www.isec.ac.in	http://www.isec.ac.in	Departments	Institute for Social and Economic Change (ISEC)	Fri, 25 Feb 2000 12:00:00 +0530
Indian Institute of Science (IISC), Bangalore	http://www.iisc.ernet.in	http://www.iisc.ernet.in	Departments	Indian Institute of Science (IISC), Bangalore	Fri, 25 Feb 2000 12:00:00 +0530
Central Institute of Indian Languages (CIIL)	http://www.ciil.org	http://www.ciil.org	Departments	Central Institute of Indian Languages (CIIL)	Fri, 19 May 2000 12:00:00 +0530
New Mangalore Port Trust, Panambur, Mangalore, Karnataka	http://newmangaloreport.gov.in	http://newmangaloreport.gov.in	Departments	New Mangalore Port Trust, Panambur, Mangalore, Karnataka	Wed, 03 May 2017 11:25:13 +0530
CSIR Fourth Paradigm Institute (formerly CSIR Centre for Mathematical Modelling and Computer Simulation)	http://www.cmmacs.ernet.in	http://www.cmmacs.ernet.in	Departments	CSIR Fourth Paradigm Institute (formerly CSIR Centre for Mathematical Modelling and Computer Simulation)	Wed, 04 Oct 2000 12:00:00 +0530
National Centre for Biological Sciences (NCBS)	http://www.ncbs.res.in	http://www.ncbs.res.in	Departments	National Centre for Biological Sciences (NCBS)	Thu, 07 Mar 2002 12:00:00 +0530
Indian Plywood Industries Research and Training Institute (IPIRTI)	http://www.ipirti.gov.in	http://www.ipirti.gov.in	Departments	Indian Plywood Industries Research and Training Institute (IPIRTI)	Mon, 29 Jul 2002 12:00:00 +0530
National Institute of Technology, Karnataka (NITK)	http://www.nitk.ac.in	http://www.nitk.ac.in	Departments	National Institute of Technology, Karnataka (NITK)	Wed, 21 Aug 2002 12:00:00 +0530
Indian Institute of Astrophysics (IIA)	http://www.iiap.res.in	http://www.iiap.res.in	Departments	Indian Institute of Astrophysics (IIA)	Thu, 09 Sep 2004 12:00:00 +0530
Central Ground Water Board, South Western Region, Bangalore	http://cgwbswr.kar.nic.in	http://cgwbswr.kar.nic.in	Departments	Central Ground Water Board, South Western Region, Bangalore	Fri, 19 Nov 2004 12:00:00 +0530
Contact details of IAS, IFS, IPS, KAS	http://www.dpar.kar.nic.in	http://www.dpar.kar.nic.in	Departments	Contact details of IAS, IFS, IPS, KAS	Thu, 03 Aug 2006 12:00:00 +0530
Information Technology and Biotechnology Department, Karnataka	http://www.bangaloreitbt.in	http://www.bangaloreitbt.in	Departments	Information Technology and Biotechnology Department, Karnataka	Mon, 27 Sep 2004 12:00:00 +0530
Bangalore District, Karnataka	http://bangaloreurban.nic.in	http://bangaloreurban.nic.in	Departments	Bangalore District, Karnataka	Wed, 15 Apr 2009 12:00:00 +0530
National Institute of Rock Mechanics (NIRM)	http://www.nirm.in	http://www.nirm.in	Departments	National Institute of Rock Mechanics (NIRM)	Fri, 19 Nov 2004 12:00:00 +0530
Institute of Wood Science and Technology (IWST)	http://iwst.icfre.gov.in	http://iwst.icfre.gov.in	Departments	Institute of Wood Science and Technology (IWST)	Thu, 08 Sep 2005 12:00:00 +0530
Directorate of Quality Assurance, Bangalore	http://www.dgqadefence.gov.in	http://www.dgqadefence.gov.in	Departments	Directorate of Quality Assurance, Bangalore	Tue, 10 Jul 2001 12:00:00 +0530
Transport Department, Karnataka	http://rto.kar.nic.in	http://rto.kar.nic.in	Departments	Transport Department, Karnataka	Fri, 24 Jan 2003 12:00:00 +0530
National Aerospace laboratories (NAL)	http://www.nal.res.in	http://www.nal.res.in	Departments	National Aerospace laboratories (NAL)	Wed, 04 Oct 2000 12:00:00 +0530
Energy Department, Karnataka	http://gokenergy.gov.in	http://gokenergy.gov.in	Departments	Energy Department, Karnataka	Thu, 19 Aug 2010 12:00:00 +0530
Ecology and Environment Department, Karnataka	http://parisara.kar.nic.in	http://parisara.kar.nic.in	Departments	Ecology and Environment Department, Karnataka	Thu, 19 Aug 2010 12:00:00 +0530
Kannada and Culture Department, Karnataka	http://samskruthi.kar.nic.in	http://samskruthi.kar.nic.in	Departments	Kannada and Culture Department, Karnataka	Tue, 10 Jul 2001 12:00:00 +0530
Karnataka Education	http://karnatakaeducation.gov.in	http://karnatakaeducation.gov.in	Departments	Karnataka Education	Thu, 26 Jul 2007 12:00:00 +0530
Kolar District, Karnataka	http://kolar.nic.in	http://kolar.nic.in	Departments	Kolar District, Karnataka	Wed, 15 Apr 2009 12:00:00 +0530
Horticulture Department, Karnataka	http://www.horticulture.kar.nic.in	http://www.horticulture.kar.nic.in	Departments	Horticulture Department, Karnataka	Thu, 26 Jul 2007 12:00:00 +0530
Public Works Department, Karnataka	http://www.kpwd.gov.in	http://www.kpwd.gov.in	Departments	Public Works Department, Karnataka	Thu, 19 Aug 2010 12:00:00 +0530
Urban Development Department, Karnataka	http://www.uddkar.gov.in	http://www.uddkar.gov.in	Departments	Urban Development Department, Karnataka	Fri, 21 Oct 2011 12:00:00 +0530
Department of Industries and Commerce, Karnataka	http://karnatakaindustry.gov.in	http://karnatakaindustry.gov.in	Departments	Department of Industries and Commerce, Directorate of Industries and Commerce	Tue, 10 Jul 2001 12:00:00 +0530
Agriculture Department, Karnataka	http://raitamitra.kar.nic.in	http://raitamitra.kar.nic.in	Departments	Agriculture Department, Karnataka	Tue, 10 Jul 2001 12:00:00 +0530
Planning Program Monitoring and Statistics Department, Karnataka	http://planning.kar.nic.in	http://planning.kar.nic.in	Departments	Planning Program Monitoring and Statistics Department, Karnataka	Fri, 29 Jan 2010 12:00:00 +0530
Department of Housing	http://housing.kar.nic.in	http://housing.kar.nic.in	Departments	Department of Housing	Mon, 01 Feb 2010 12:00:00 +0530
Indian Institute of Management, Bangalore (IIMB)	http://www.iimb.ernet.in	http://www.iimb.ernet.in	Departments	Indian Institute of Management, Bangalore (IIMB)	Thu, 19 Oct 2000 12:00:00 +0530
Bidar District, Karnataka	http://bidar.nic.in	http://bidar.nic.in	Departments	Bidar District, Karnataka	Fri, 30 Jan 2004 12:00:00 +0530
Bagalkot District, Karnataka	http://bagalkot.nic.in	http://bagalkot.nic.in	Departments	Bagalkot District, Karnataka	Fri, 30 Jan 2004 12:00:00 +0530
Co-operative Audit Department, Karnataka	*	*	Departments	Co-operative Audit Department, Karnataka	Tue, 03 Sep 2013 12:00:00 +0530
Forest Department, Government of Karnataka	http://aranya.gov.in	http://aranya.gov.in	Departments	Forest Department, Government of Karnataka	Thu, 26 Jul 2007 12:00:00 +0530
Hindustan Aeronautics Limited (HAL)	http://www.hal-india.com	http://www.hal-india.com	Departments	Hindustan Aeronautics Limited (HAL)	Tue, 24 Apr 2001 12:00:00 +0530
Water Resources Department, Karnataka	http://waterresources.kar.nic.in	http://waterresources.kar.nic.in	Departments	Water Resources Department, Karnataka	Thu, 26 Jul 2007 12:00:00 +0530
Postal Training Centre (PTC), Mysore	http://ptcmysore.gov.in	http://ptcmysore.gov.in	Departments	Postal Training Centre (PTC), Mysore	Fri, 05 Jul 2002 12:00:00 +0530
Karnataka Telecom Circle	http://karnataka.bsnl.co.in	http://karnataka.bsnl.co.in	Departments	Karnataka Telecom Circle	Tue, 23 May 2000 12:00:00 +0530
Coffee Board, India	http://indiacoffee.org	http://indiacoffee.org	Departments	Coffee Board, India	Thu, 22 Mar 2001 12:00:00 +0530
Haveri District, Karnataka	http://haveri.nic.in	http://haveri.nic.in	Departments	Haveri District, Karnataka	Wed, 15 Apr 2009 12:00:00 +0530
Youth Hostel, Mysore, Karnataka	http://www.yhmysore.com	http://www.yhmysore.com	Departments	Youth Hostel, Mysore, Karnataka	Wed, 11 Feb 2009 12:00:00 +0530
Youth Empowerment and Sports Department, Karnataka	http://www.karnatakayouthportal.in	http://www.karnatakayouthportal.in	Departments	Youth Empowerment and Sports Department, Karnataka	Tue, 15 Sep 2015 12:00:00 +0530
Information and Tourism Department, Karnataka	http://www.karnatakatourism.org	http://www.karnatakatourism.org	Departments	Information and Tourism Department, Karnataka	Tue, 15 Sep 2015 12:00:00 +0530
Sahakara-Sindu, Registrar of Co-operative Societies, Karnataka	http://www.sahakara.kar.gov.in	http://www.sahakara.kar.gov.in	Departments	Sahakara-Sindu, Registrar of Co-operative Societies, Karnataka	Mon, 30 Aug 2010 12:00:00 +0530
Medical Education Department, Karnataka	http://medicaleducation.kar.nic.in	http://medicaleducation.kar.nic.in	Departments	Medical Education Department, Karnataka	Tue, 15 Sep 2015 12:00:00 +0530
Higher Education Department, Karnataka	http://www.dce.kar.nic.in	http://www.dce.kar.nic.in	Departments	Higher Education Department, Karnataka	Mon, 10 May 2010 12:00:00 +0530
Central Food Technological Research Institute (CFTRI)	http://www.cftri.com	http://www.cftri.com	Departments	CENTRAL FOOD TECHNOLOGICAL RESEARCH INSTITUTE	Mon, 21 Dec 2009 12:00:00 +0530
Chamarajnagar District, Karnataka	http://chamrajnagar.nic.in	http://chamrajnagar.nic.in	Departments	Chamarajnagar District, Karnataka	Wed, 15 Apr 2009 12:00:00 +0530
Food, Civil Supplies and Consumer Affairs Department, Karnataka	http://ahara.kar.nic.in	http://ahara.kar.nic.in	Departments	Food, Civil Supplies and Consumer Affairs Department, Karnataka	Thu, 19 Aug 2010 12:00:00 +0530
Bangalore Rural District, Karnataka	http://bangalorerural.kar.nic.in	http://bangalorerural.kar.nic.in	Departments	Bangalore Rural District, Karnataka	Mon, 15 May 2006 12:00:00 +0530
Central Excise, Bangalore 1	http://centralexcisebangalore.gov.in	http://centralexcisebangalore.gov.in	Departments	Central Excise, Bangalore	Tue, 03 Feb 2004 12:00:00 +0530
